E;C;D;B;A
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Absent;Absent;Absent;Increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Present
Present;Present;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Present;Present;Increased;Present
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Present;Absent;Not increased;Present
Absent;Absent;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Present
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Present;Present;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Present
Present;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
