E;C;D;B;A
Present;Present;Present;Increased;Absent
Present;Absent;Absent;Increased;Present
Present;Absent;Absent;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Present;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Present;Present;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Present;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Present;Increased;Absent
Present;Present;Present;Increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Increased;Present
Present;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Present
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Present
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Present;Increased;Absent
Absent;Absent;Present;Increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Present;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
Absent;Absent;Absent;Not increased;Absent
